#{"t_start": 1703879378.473611, "env_id": "ContinuousCartPole-v0"}
r,l,t
56.0,56,0.223718
60.0,60,0.231021
49.0,49,0.236976
38.0,38,0.241585
47.0,47,0.247234
50.0,50,0.253262
37.0,37,0.257729
48.0,48,0.263513
33.0,33,0.267506
45.0,45,0.272923
28.0,28,0.276332
60.0,60,0.283535
41.0,41,0.288473
44.0,44,0.293727
25.0,25,0.29674
54.0,54,0.303179
30.0,30,0.306756
40.0,40,0.311536
62.0,62,0.31892
27.0,27,0.322166
40.0,40,0.326923
33.0,33,0.330872
65.0,65,0.338635
39.0,39,0.343364
50.0,50,0.349363
30.0,30,0.352985
62.0,62,0.360376
47.0,47,0.366029
60.0,60,0.373186
30.0,30,0.376792
34.0,34,0.380871
42.0,42,0.385882
48.0,48,0.391615
30.0,30,0.395211
41.0,41,0.40012
81.0,81,0.409732
65.0,65,0.417441
33.0,33,0.421395
52.0,52,0.427619
45.0,45,0.433002
42.0,42,0.438021
31.0,31,0.441732
35.0,35,0.445928
34.0,34,0.450013
29.0,29,0.453507
38.0,38,0.458043
33.0,33,0.462001
37.0,37,0.801758
48.0,48,0.80756
48.0,48,0.813296
26.0,26,0.816417
33.0,33,0.820416
49.0,49,0.826292
49.0,49,0.832158
49.0,49,0.837999
32.0,32,0.841808
45.0,45,0.847152
30.0,30,0.850746
44.0,44,0.855986
28.0,28,0.859336
57.0,57,0.866086
43.0,43,0.871195
39.0,39,0.87586
36.0,36,0.880143
40.0,40,0.884911
39.0,39,0.889542
57.0,57,0.896285
46.0,46,0.901734
33.0,33,0.905652
43.0,43,0.910744
47.0,47,0.916307
33.0,33,0.920245
39.0,39,0.924873
35.0,35,0.929048
55.0,55,0.935554
65.0,65,0.943235
36.0,36,0.94751
53.0,53,0.953811
38.0,38,0.958337
70.0,70,0.966595
34.0,34,0.970657
44.0,44,0.975886
42.0,42,0.980872
48.0,48,0.986529
44.0,44,0.991734
39.0,39,0.996369
54.0,54,1.002745
41.0,41,1.007575
51.0,51,1.013645
37.0,37,1.018047
66.0,66,1.025844
53.0,53,1.032109
53.0,53,1.038379
129.0,129,1.362558
28.0,28,1.365971
62.0,62,1.373301
28.0,28,1.376648
36.0,36,1.380939
32.0,32,1.384754
34.0,34,1.388816
47.0,47,1.394937
35.0,35,1.399274
36.0,36,1.40404
64.0,64,1.411844
57.0,57,1.419236
58.0,58,1.4266
29.0,29,1.430294
69.0,69,1.438637
37.0,37,1.443285
30.0,30,1.446892
34.0,34,1.450937
52.0,52,1.45706
34.0,34,1.461062
43.0,43,1.466122
26.0,26,1.469218
42.0,42,1.47416
53.0,53,1.480367
43.0,43,1.485507
37.0,37,1.489855
51.0,51,1.495829
50.0,50,1.501725
47.0,47,1.507215
66.0,66,1.514944
41.0,41,1.519752
38.0,38,1.524212
75.0,75,1.532916
31.0,31,1.536603
68.0,68,1.544495
32.0,32,1.548263
44.0,44,1.553446
40.0,40,1.558157
36.0,36,1.562399
32.0,32,1.566186
35.0,35,1.570309
36.0,36,1.574531
33.0,33,1.578589
40.0,40,1.583422
27.0,27,1.586665
32.0,32,1.590523
39.0,39,1.595182
50.0,50,1.89936
44.0,44,1.904662
35.0,35,1.908846
31.0,31,1.912556
51.0,51,1.918614
43.0,43,1.923745
70.0,70,1.931964
55.0,55,1.938435
42.0,42,1.94341
43.0,43,1.948519
67.0,67,1.956378
41.0,41,1.961217
64.0,64,1.968725
37.0,37,1.973114
58.0,58,1.979955
103.0,103,1.99204
37.0,37,1.996428
29.0,29,1.999874
53.0,53,2.006119
59.0,59,2.013069
41.0,41,2.01792
33.0,33,2.021837
31.0,31,2.025513
50.0,50,2.031405
41.0,41,2.03628
84.0,84,2.046149
48.0,48,2.051782
39.0,39,2.056429
39.0,39,2.061035
47.0,47,2.066582
37.0,37,2.070945
77.0,77,2.080419
35.0,35,2.084698
69.0,69,2.092995
51.0,51,2.099142
31.0,31,2.10291
29.0,29,2.106437
49.0,49,2.112324
38.0,38,2.116896
96.0,96,2.128352
42.0,42,2.133411
42.0,42,2.433911
93.0,93,2.44497
89.0,89,2.455417
32.0,32,2.459224
30.0,30,2.462798
37.0,37,2.467172
104.0,104,2.479332
164.0,164,2.498421
72.0,72,2.506874
38.0,38,2.511368
67.0,67,2.519252
153.0,153,2.537189
60.0,60,2.544259
58.0,58,2.551064
148.0,148,2.568347
107.0,107,2.581197
49.0,49,2.587053
49.0,49,2.592885
54.0,54,2.599265
54.0,54,2.605657
85.0,85,2.615645
35.0,35,2.619805
36.0,36,2.624069
52.0,52,2.630227
87.0,87,2.640463
53.0,53,2.646734
67.0,67,2.654594
94.0,94,2.66559
71.0,71,2.673937
121.0,121,2.984452
153.0,153,3.002337
74.0,74,3.011028
163.0,163,3.030058
190.0,190,3.052078
171.0,171,3.071965
107.0,107,3.084802
122.0,122,3.09914
91.0,91,3.109804
216.0,216,3.135018
188.0,188,3.156974
125.0,125,3.171582
110.0,110,3.18443
119.0,119,3.198332
48.0,48,3.203969
296.0,296,3.533729
226.0,226,3.559964
500.0,500,3.619225
40.0,40,3.624075
257.0,257,3.654608
181.0,181,3.6761
263.0,263,3.707395
157.0,157,3.726097
192.0,192,4.044983
318.0,318,4.082468
500.0,500,4.141934
500.0,500,4.201153
500.0,500,4.260058
183.0,183,4.281639
366.0,366,4.617726
195.0,195,4.640678
322.0,322,4.678347
401.0,401,4.724897
363.0,363,4.767163
231.0,231,4.794201
337.0,337,5.126243
500.0,500,5.183935
291.0,291,5.21748
254.0,254,5.24638
381.0,381,5.289546
430.0,430,5.338469
176.0,176,5.651453
32.0,32,5.655333
500.0,500,5.713141
378.0,378,5.757025
416.0,416,5.805109
150.0,150,5.822689
202.0,202,5.84604
394.0,394,6.18784
323.0,323,6.225631
378.0,378,6.269549
500.0,500,6.327534
395.0,395,6.373319
309.0,309,6.409286
145.0,145,6.719943
359.0,359,6.761742
94.0,94,6.772798
424.0,424,6.822243
394.0,394,6.868023
270.0,270,6.899476
43.0,43,6.904546
